rank,arxiv_id,title,published_date,cited_by_count,total_score,abs_url
2513,2605.12182,DexTwist: Dexterous Hand Retargeting for Twist Motion via Mixed Reality-based Teleoperation,2026-05-12,missing,1.0,https://arxiv.org/abs/2605.12182
2514,2605.12167,From Imagined Futures to Executable Actions: Mixture of Latent Actions for Robot Manipulation,2026-05-12,missing,1.0,https://arxiv.org/abs/2605.12167
2515,2605.12162,X-Imitator: Spatial-Aware Imitation Learning via Bidirectional Action-Pose Interaction,2026-05-12,missing,1.0,https://arxiv.org/abs/2605.12162
2516,2605.12160,Premover: Fast Vision-Language-Action Control by Acting Before Instructions Are Complete,2026-05-12,missing,1.0,https://arxiv.org/abs/2605.12160
2517,2605.12053,Closing the Motion Execution Gap: From Semantic Motion Task Constraints to Kinematic Control,2026-05-12,missing,1.0,https://arxiv.org/abs/2605.12053
2518,2605.11951,From Reaction to Anticipation: Proactive Failure Recovery through Agentic Task Graph for Robotic Manipulation,2026-05-12,missing,1.0,https://arxiv.org/abs/2605.11951
2519,2605.11832,Learning Action Manifold with Multi-view Latent Priors for Robotic Manipulation,2026-05-12,missing,1.0,https://arxiv.org/abs/2605.11832
2520,2605.11817,See What Matters: Differentiable Grid Sample Pruning for Generalizable Vision-Language-Action Model,2026-05-12,missing,1.0,https://arxiv.org/abs/2605.11817
2521,2605.11809,Beyond World-Frame Action Heads: Motion-Centric Action Frames for Vision-Language-Action Models,2026-05-12,missing,1.0,https://arxiv.org/abs/2605.11809
2522,2605.11762,NavOL: Navigation Policy with Online Imitation Learning,2026-05-12,missing,1.0,https://arxiv.org/abs/2605.11762
2523,2605.11750,DreamAvoid: Critical-Phase Test-Time Dreaming to Avoid Failures in VLA Policies,2026-05-12,missing,1.0,https://arxiv.org/abs/2605.11750
2524,2605.11714,Introducing Environmental Constraints to Grasping Strategies for Paper-Like Flexible Materials Using a Soft Gripper,2026-05-12,missing,1.0,https://arxiv.org/abs/2605.11714
2525,2605.11665,Nautilus: From One Prompt to Plug-and-Play Robot Learning,2026-05-12,missing,1.0,https://arxiv.org/abs/2605.11665
2526,2605.11618,Sampling-Based Follow-the-Leader Motion Planning for Manipulator-Mounted Continuum Robots,2026-05-12,missing,1.0,https://arxiv.org/abs/2605.11618
2527,2605.11564,RIO: Flexible Real-Time Robot I/O for Cross-Embodiment Robot Learning,2026-05-12,missing,1.0,https://arxiv.org/abs/2605.11564
2528,2605.11485,Coordinated Diffusion: Generating Multi-Agent Behavior Without Multi-Agent Demonstrations,2026-05-12,missing,1.0,https://arxiv.org/abs/2605.11485
2529,2605.11479,Offline Policy Evaluation for Manipulation Policies via Discounted Liveness Formulation,2026-05-12,missing,1.0,https://arxiv.org/abs/2605.11479
2530,2605.11387,Behavioral Mode Discovery for Fine-tuning Multimodal Generative Policies,2026-05-12,missing,1.0,https://arxiv.org/abs/2605.11387
2531,2605.11367,3D-Belief: Embodied Belief Inference via Generative 3D World Modeling,2026-05-12,missing,1.0,https://arxiv.org/abs/2605.11367
2532,2605.11223,Do Vision-Language-Models show human-like logical problem-solving capability in point and click puzzle games?,2026-05-11,missing,1.0,https://arxiv.org/abs/2605.11223
2533,2605.11151,RankQ: Offline-to-Online Reinforcement Learning via Self-Supervised Action Ranking,2026-05-11,missing,1.0,https://arxiv.org/abs/2605.11151
2534,2605.11144,Forecast-aware Gaussian Splatting for Predictive 3D Representation in Language-Guided Pick-and-Place Manipulation,2026-05-11,missing,1.0,https://arxiv.org/abs/2605.11144
2535,2605.11114,SEVO: Semantic-Enhanced Virtual Observation for Robust VLA Manipulation via Active Illumination and Data-Centric Collection,2026-05-11,missing,1.0,https://arxiv.org/abs/2605.11114
2536,2605.10734,XQCfD: Accelerating Fast Actor-Critic Algorithms with Prior Data and Prior Policies,2026-05-11,missing,1.0,https://arxiv.org/abs/2605.10734
2537,2605.10201,HeteroGenManip: Generalizable Manipulation For Heterogeneous Object Interactions,2026-05-11,missing,1.0,https://arxiv.org/abs/2605.10201
2538,2605.10166,Data-Asymmetric Latent Imagination and Reranking for 3D Robotic Imitation Learning,2026-05-11,missing,1.0,https://arxiv.org/abs/2605.10166
2539,2605.10094,Retrieve-then-Steer: Online Success Memory for Test-Time Adaptation of Generative VLAs,2026-05-11,missing,1.0,https://arxiv.org/abs/2605.10094
2540,2605.09989,StereoPolicy: Improving Robotic Manipulation Policies via Stereo Perception,2026-05-11,missing,1.0,https://arxiv.org/abs/2605.09989
2541,2605.09948,LoopVLA: Learning Sufficiency in Recurrent Refinement for Vision-Language-Action Models,2026-05-11,missing,1.0,https://arxiv.org/abs/2605.09948
2542,2605.09789,Zero-Shot Sim-to-Real Robot Learning: A Dexterous Manipulation Study on Reactive Catching,2026-05-10,missing,1.0,https://arxiv.org/abs/2605.09789
2543,2605.09672,MVB-Grasp: Minimum-Volume-Box Filtering of Diffusion-based Grasps for Frontal Manipulation,2026-05-10,missing,1.0,https://arxiv.org/abs/2605.09672
2544,2605.09613,SABER: A Scalable Action-Based Embodied Dataset for Real-World VLA Adaptation,2026-05-10,missing,1.0,https://arxiv.org/abs/2605.09613
2545,2605.09537,Drift is a Sampling Error: SNR-Aware Power Distributions for Long-Horizon Robotic Planning,2026-05-10,missing,1.0,https://arxiv.org/abs/2605.09537
2546,2605.10993,ECHO: Continuous Hierarchical Memory for Vision-Language-Action Models,2026-05-09,missing,1.0,https://arxiv.org/abs/2605.10993
2547,2605.09127,IMPACT: An Implicit Active-Set Augmented Lagrangian for Fast Contact-Implicit Trajectory Optimization,2026-05-09,missing,1.0,https://arxiv.org/abs/2605.09127
2548,2605.09081,FactoryNet: A Large-Scale Dataset toward Industrial Time-Series Foundation Models,2026-05-09,missing,1.0,https://arxiv.org/abs/2605.09081
